product,definition
gm_s2_annual,https://raw.githubusercontent.com/digitalearthafrica/config/master/products/gm_s2_annual.odc-product.yaml
gm_ls8_ls9_annual,https://raw.githubusercontent.com/digitalearthafrica/config/master/products/gm_ls8_ls9_annual.odc-product.yaml
wofs_ls_summary_annual,https://raw.githubusercontent.com/digitalearthafrica/config/master/products/wofs_ls_summary_annual.odc-product.yaml
wofs_ls_summary_alltime,https://raw.githubusercontent.com/digitalearthafrica/config/master/products/wofs_ls_summary_alltime.odc-product.yaml
