band_name,desc,central,width,min,max,nominal ifov (m),nominal pixel (m),notes
tm01,blue,485,70,450,520,30,30,'
tm02,green,560,80,520,600,30,30,'
tm03,red,660,60,630,690,30,30,'
tm04,nir,832.5,135,765,900,30,30,'
mt05,swir1,1650,200,1550,1750,30,30,'
tm06,thermal,1145,210,1040,1250,120,30,'
tm07,swir2,2217.5,265,2085,2350,30,30,'
tm08,panchromatic,710,380,520,900,15,15,only on ETM+
